"","female","edu","age","participation","sexism"
"904",1,5,70,3,0.0625
"905",1,3,38,1,0.375
"906",1,3,34,1,0.375
"907",1,5,42,4,0.0625
"908",1,5,39,2,0.25
"909",0,2,53,1,0.5
"910",0,4,59,2,0.3125
"911",1,2,27,0,0
"912",0,5,NA,1,0.25
"913",1,1,37,0,0.5625
"914",0,5,41,2,0.5
"915",0,6,49,3,0.25
"916",0,5,31,1,0.3125
"917",NA,3,32,1,0
"918",1,5,36,1,0.0625
"919",1,1,34,NA,0.625
"920",1,5,30,1,0.25
"921",0,2,67,1,0.375
"922",0,5,58,1,0.1875
"923",0,6,71,NA,NA
"924",1,2,57,1,0.375
"925",1,6,38,1,0.5
"926",1,6,61,NA,NA
"927",0,2,63,1,0.75
"928",0,4,60,1,0.6875
"929",1,6,59,1,0.25
"930",1,5,40,1,0.25
"931",1,4,40,1,0.25
"932",1,6,42,1,0.5
"933",1,5,63,2,0
"934",0,3,26,1,0.5625
"935",1,5,27,NA,0.25
"936",0,5,32,0,0.0625
"937",1,1,39,NA,0.5
"938",1,6,32,3,0.5
"939",1,6,68,4,0.0625
"940",0,5,30,1,0
"941",1,4,46,1,0.4375
"942",1,6,60,6,0.125
"943",1,4,46,1,0.3125
"944",1,1,37,0,0.5
"945",1,6,63,1,0.1875
"946",0,6,39,NA,0.5625
"947",0,5,54,0,NA
"948",0,2,18,1,0.4375
"949",0,3,26,NA,0.6875
"950",1,6,50,3,0.0625
"951",1,4,46,2,0.25
"952",0,4,35,1,0.5
"953",1,6,33,2,0.375
"954",1,4,78,1,0.375
"955",1,2,18,1,0.3125
"956",1,2,21,NA,0.0625
"957",1,6,35,5,0
"958",1,6,32,1,0.0625
"959",0,4,35,1,0.25
"960",0,4,64,6,0.8125
"961",1,2,66,1,0.5
"962",1,5,31,0,0.3125
"963",1,2,65,1,0.875
"964",1,6,51,1,0.75
"965",1,3,45,2,0.25
"966",0,4,51,1,0.375
"967",0,5,42,2,0.125
"968",0,2,69,NA,0.25
"969",1,6,87,1,0.375
"970",1,2,74,1,0.3125
"971",1,2,56,1,0.4375
"972",0,2,28,NA,0.375
"973",0,5,36,2,0.375
"974",1,3,21,NA,0.0625
"975",0,4,42,NA,1
"976",1,2,46,NA,0.8125
"977",0,6,NA,NA,0.1875
"978",1,1,63,NA,0.3125
"979",0,3,48,1,0.6875
"980",0,2,20,NA,0.5625
"981",0,6,58,1,0.3125
"982",0,5,22,1,0.0625
"983",NA,6,NA,2,0.0625
"984",1,6,54,4,0
"985",1,6,40,4,0
"986",1,2,35,3,0.5
"987",0,6,65,1,0.0625
"988",0,3,66,1,0
"989",1,2,50,1,0.3125
"990",1,6,NA,5,0.375
"991",1,1,90,0,0.5625
"992",0,5,32,1,0.25
"993",1,5,25,2,0
"994",1,6,48,5,0
"995",0,4,25,1,0.75
"996",0,6,57,2,0.125
"997",0,2,19,3,0.125
"998",1,6,32,1,0.5
"999",1,3,53,0,0.3125
"1000",0,2,25,1,0.9375
"1001",1,2,19,2,1
"1002",1,3,35,1,0.1875
"1003",0,4,32,1,0.1875
"1004",0,3,34,NA,0.5
"1005",1,6,67,4,0.25
"1006",1,5,79,4,0.375
"1007",1,5,30,0,0.0625
"1008",1,1,90,1,0.25
"1009",0,2,37,0,0.5625
"1010",0,3,41,NA,0.5
"1011",1,3,59,3,0.0625
"1012",0,3,36,NA,0.1875
"1013",0,3,38,2,0.5625
"1014",1,5,47,0,0.1875
"1015",0,3,67,1,0.9375
"1016",1,3,57,1,0.4375
"1017",1,5,41,1,0.0625
"1018",1,6,27,1,0.4375
"1019",1,3,21,1,0.4375
"1020",1,5,70,1,0.3125
"1021",1,6,65,NA,0.25
"1022",0,5,65,2,0.625
"1023",0,5,64,1,0.5
"1024",1,3,25,1,0.5
"1025",0,4,64,1,0.5625
"1026",1,6,59,NA,0.5
"1027",0,4,31,1,0.125
"1028",0,4,70,1,0.3125
"1029",0,4,37,1,0.4375
"1030",0,NA,65,1,0.75
"1031",0,6,NA,NA,0.5
"1032",0,1,65,NA,0.75
"1033",1,2,28,2,0.5625
"1034",0,5,56,1,0.125
"1035",0,2,34,1,0.5
"1036",0,5,55,4,0.4375
"1037",0,2,64,1,0.4375
"1038",1,6,29,1,0.125
"1039",1,5,66,2,0
"1040",0,3,71,1,0.4375
"1041",1,2,81,1,0.3125
"1042",1,2,22,0,0.6875
"1043",0,3,78,2,0.5
"1044",0,5,34,1,0.5625
"1045",1,3,20,1,0
"1046",1,3,69,NA,0.375
"1047",1,1,55,1,0.9375
"1048",1,2,63,0,0.75
"1049",1,3,55,1,0.1875
"1050",0,6,83,2,0.1875
"1051",1,2,46,6,0.75
"1052",1,3,61,0,0.3125
"1053",1,6,36,1,0.5
"1054",0,5,30,4,0.0625
"1055",0,6,33,3,0.3125
"1056",1,2,24,NA,0.5
"1057",0,6,66,NA,0.375
"1058",1,1,20,2,0.0625
"1059",1,5,56,1,0.4375
"1060",0,5,81,NA,0.75
"1061",0,1,61,NA,0.5
"1062",1,5,42,1,0.6875
"1063",1,6,35,1,0.5
"1064",0,2,75,4,0.5
"1065",0,2,56,1,0.5
"1066",1,5,27,1,0.0625
"1067",0,2,19,1,0.625
"1068",0,4,56,1,0.375
"1069",0,6,56,3,0.25
"1070",0,5,25,1,0.1875
"1071",1,6,64,2,0
"1072",1,3,20,0,0.5
"1073",0,5,75,NA,0.4375
"1074",0,1,38,1,0.375
"1075",0,5,50,3,0.0625
"1076",0,1,61,1,1
"1077",0,2,30,0,0.25
"1078",0,6,48,1,0.1875
"1079",1,1,66,2,0.75
"1080",1,1,31,2,0.9375
"1081",1,2,59,1,0.4375
"1082",1,3,21,1,0.0625
"1083",0,1,23,0,0.8125
"1084",1,4,44,2,0.4375
"1085",0,5,72,5,0.125
"1086",0,4,52,5,0.125
"1087",1,5,33,1,0.4375
"1088",1,2,60,1,0.4375
"1089",1,3,51,1,0.0625
"1090",1,5,45,2,0.125
"1091",1,3,55,1,0.4375
"1092",0,5,24,1,0.375
"1093",1,3,21,0,0.4375
"1094",1,5,68,4,0.5
"1095",0,3,39,0,0.25
"1096",1,1,51,1,0.0625
"1097",1,2,71,0,0.75
"1098",0,5,58,1,0.5625
"1099",0,2,37,1,0.1875
"1100",0,6,67,3,0
"1101",0,1,73,NA,0.125
"1102",1,2,60,1,0.5
"1103",1,2,37,3,0.125
"1104",1,6,28,1,0.25
"1105",1,2,68,1,0.1875
"1106",NA,4,31,0,NA
"1107",0,5,62,1,0.25
"1108",1,1,68,NA,0.375
"1109",1,3,67,1,0.625
"1110",1,6,63,3,0.125
"1111",1,5,54,1,0.125
"1112",0,2,63,2,0.3125
"1113",1,5,30,0,0.5
"1114",1,3,44,1,0.5
"1115",1,2,75,2,NA
"1116",1,6,42,4,0.1875
"1117",1,4,53,1,0.5
"1118",1,6,69,1,0.25
"1119",0,6,63,2,0.125
"1120",0,3,57,NA,0.5625
"1121",1,2,66,1,0.625
"1122",0,6,55,2,0.625
"1123",0,2,23,5,0.6875
"1124",0,1,57,1,0.75
"1125",1,4,50,1,0.375
"1126",1,5,68,1,0.4375
"1127",NA,4,39,1,0.5
"1128",0,6,65,2,0.1875
"1129",1,3,71,NA,0.25
"1130",0,6,61,8,0.875
"1131",1,4,44,0,0.3125
"1132",1,3,62,1,0.1875
"1133",1,5,27,1,0.0625
"1134",1,6,35,2,0.125
"1135",0,6,56,3,0.625
"1136",0,6,39,NA,0
"1137",0,2,69,NA,0.75
"1138",1,4,53,1,0.375
"1139",1,5,68,1,0.1875
"1140",0,5,69,1,0
"1141",1,5,60,1,0.25
"1142",1,3,30,2,0.75
"1143",0,3,67,0,0.375
"1144",0,3,33,0,0.625
"1145",1,5,25,2,0
"1146",0,4,56,2,0.5625
"1147",0,3,53,1,0.875
"1148",1,5,36,1,0.1875
"1149",0,2,76,0,0.375
"1150",1,5,68,2,0.25
"1151",0,6,31,4,0.5
"1152",1,5,25,1,0.125
"1153",0,4,54,1,0.0625
"1154",0,4,32,NA,0.0625
"1155",1,4,60,4,0.1875
"1156",1,3,63,6,0
"1157",1,3,28,2,0.375
"1158",0,6,42,1,0.3125
"1159",0,2,33,NA,0.5
"1160",1,5,57,5,0.4375
"1161",1,6,34,1,0.4375
"1162",0,3,54,5,0
"1163",0,3,63,1,0.5625
"1164",1,3,35,0,0.1875
"1165",0,2,31,1,0.125
"1166",1,2,26,2,0.375
"1167",1,2,42,1,0.4375
"1168",0,5,68,1,0.125
"1169",1,6,65,4,0.1875
"1170",1,3,49,NA,0.1875
"1171",1,3,66,NA,0.25
"1172",0,5,37,NA,0.6875
"1173",1,5,58,2,0.6875
"1174",1,5,35,2,0.1875
"1175",1,3,47,0,0.5
"1176",1,4,39,1,0.0625
"1177",1,3,53,1,0.125
"1178",1,2,42,1,0.4375
"1179",1,6,53,2,0
"1180",0,5,31,4,0.3125
"1181",NA,6,NA,1,NA
"1182",1,5,39,1,0.4375
"1183",0,3,35,1,0.4375
"1184",0,6,25,1,0.3125
"1185",1,6,70,1,0
"1186",1,5,38,2,0.3125
"1187",1,4,28,0,0.5
"1188",0,2,46,NA,0.5
"1189",1,2,79,0,0.5625
"1190",1,6,69,5,0.125
"1191",0,3,50,6,0
"1192",1,5,26,NA,0
"1193",0,6,68,5,0.5625
"1194",1,5,20,2,0.625
"1195",0,6,27,1,0.1875
"1196",1,2,57,6,0.5
"1197",1,4,30,1,0.4375
"1198",1,3,40,0,0.625
"1199",0,4,36,2,0.1875
"1200",0,6,44,2,0.25
"1201",1,1,55,0,0.4375
"1202",1,5,33,0,0
"1203",1,3,58,2,0.5625
"1204",1,3,57,1,0.25
"1205",0,5,28,2,0.3125
"1206",1,4,37,1,0
"1207",1,6,37,1,0.1875
"1208",1,6,66,5,0.25
"1209",1,2,75,1,0
"1210",0,4,33,0,0.1875
"1211",1,5,26,2,0.5
"1212",0,5,72,2,0.625
"1213",0,5,66,1,0.3125
"1214",0,2,52,1,0.1875
"1215",1,1,45,1,0.625
"1216",1,3,37,NA,0
"1217",1,5,39,0,0.375
"1218",0,3,35,1,0.375
"1219",1,1,46,2,0.5
"1220",0,5,33,6,0.1875
"1221",0,2,39,0,0.0625
"1222",1,4,54,NA,0.125
"1223",0,2,25,1,0.5625
"1224",1,5,22,2,0
"1225",1,4,29,1,0.3125
"1226",1,5,38,NA,0.375
"1227",1,4,37,1,0.5
"1228",1,2,49,0,0.75
"1229",0,3,19,0,0.5
"1230",0,1,56,NA,1
"1231",1,4,67,1,NA
"1232",0,2,39,2,0.5
"1233",0,4,57,1,0.25
"1234",0,5,47,2,0.5625
"1235",0,3,20,NA,0.5
"1236",0,3,71,1,0.375
"1237",0,2,68,1,0.5625
"1238",1,6,59,NA,0.1875
"1239",1,5,23,1,0
"1240",1,3,57,1,0.125
"1241",1,3,84,3,0.25
"1242",1,5,54,1,0
"1243",0,3,58,1,0.625
"1244",1,3,38,3,0.125
"1245",1,6,71,4,0
"1246",0,3,57,1,0.25
"1247",1,2,73,0,0.5625
"1248",1,6,70,2,0.0625
"1249",1,3,68,3,0.25
"1250",1,5,58,NA,0.4375
"1251",0,3,53,NA,0.25
"1252",1,3,39,0,0.625
"1253",0,2,27,1,0.5
"1254",1,3,51,NA,0.375
"1255",1,3,46,1,0.125
"1256",1,4,81,4,0.375
"1257",0,3,78,0,0.5625
"1258",1,1,35,0,0.4375
"1259",1,5,72,1,0
"1260",1,1,81,1,0.375
"1261",1,2,65,1,0.5
"1262",1,2,82,1,0.4375
"1263",1,4,79,3,0.375
"1264",0,5,57,1,0.125
"1265",1,2,27,0,0.5625
"1266",0,4,35,4,0
"1267",1,3,58,1,0.125
"1268",1,6,76,3,0.3125
"1269",1,3,22,NA,0.0625
"1270",0,1,60,1,0.5
"1271",1,2,38,NA,0.625
"1272",1,6,57,1,0.0625
"1273",0,1,60,NA,NA
"1274",0,4,20,1,0.5625
"1275",1,2,62,0,0.25
"1276",1,2,34,1,0.125
"1277",0,6,74,2,0.4375
"1278",0,2,61,1,0.875
"1279",1,4,50,1,0
"1280",0,2,32,1,0.75
"1281",1,4,36,1,0.5625
"1282",1,2,68,2,0.4375
"1283",1,3,55,1,0.6875
"1284",1,4,62,NA,0.4375
"1285",1,2,33,1,0.5625
"1286",0,3,45,3,0.375
"1287",1,3,25,1,0.5
"1288",0,1,78,NA,0.5
"1289",1,6,72,3,0.25
"1290",0,3,54,NA,0.125
"1291",1,6,32,0,0.5
"1292",0,3,68,1,0.0625
"1293",1,6,31,2,0.1875
"1294",1,5,60,1,0.1875
"1295",1,3,38,4,0.5
"1296",0,2,58,1,0.5
"1297",0,6,82,NA,0.25
"1298",0,3,29,NA,0.625
"1299",1,2,30,1,0.5
"1300",0,5,56,2,0.375
"1301",1,6,39,2,0.5
"1302",0,2,41,0,0.625
"1303",1,3,21,1,0.3125
"1304",1,2,37,2,0.0625
"1305",1,6,25,0,0.125
"1306",1,3,68,1,0.3125
"1307",0,4,53,NA,0
"1308",0,5,25,2,0.375
"1309",1,6,56,6,0
"1310",0,4,49,NA,0.375
"1311",0,3,27,1,0.5
"1312",0,4,23,NA,0.3125
"1313",0,3,45,1,0.375
"1314",0,3,74,1,0.5625
"1315",0,3,32,1,0.625
"1316",1,6,58,2,0
"1317",1,6,31,8,0.4375
"1318",0,2,18,1,0.375
"1319",0,2,NA,1,0.625
"1320",1,3,40,6,0
"1321",1,5,42,1,0.0625
"1322",0,5,63,1,0.25
"1323",1,5,29,1,0
"1324",0,5,55,2,0.625
"1325",0,5,45,1,0.3125
"1326",1,6,90,4,0.25
"1327",1,5,49,1,0.375
"1328",1,2,89,NA,0.0625
"1329",1,3,31,5,0.125
"1330",1,5,27,2,0.0625
"1331",1,3,20,1,0.25
"1332",0,4,26,0,0.1875
"1333",1,3,74,1,0.25
"1334",1,6,67,3,0.125
"1335",0,1,19,1,0.3125
"1336",1,6,36,NA,0.1875
"1337",0,1,47,1,0.625
"1338",0,5,45,1,0.4375
"1339",1,4,52,2,0.9375
"1340",0,5,47,1,0.375
"1341",1,5,66,2,0
"1342",0,5,32,3,0
"1343",1,6,41,1,0.0625
"1344",0,1,86,1,0.5
"1345",1,6,62,1,0.1875
"1346",1,3,20,1,0.5
"1347",0,4,30,0,0.375
"1348",0,5,26,3,0
"1349",1,5,48,0,0
"1350",1,6,68,2,0.0625
"1351",0,5,84,1,0.4375
"1352",1,6,66,NA,0.0625
"1353",1,5,58,3,0.125
"1354",0,1,34,1,1
"1355",0,4,57,1,0.5625
"1356",0,4,36,2,0.25
"1357",1,3,26,0,0.25
"1358",1,3,27,0,0.375
"1359",0,2,51,2,0.375
"1360",1,1,57,NA,0.75
"1361",1,5,78,1,0.25
"1362",1,5,55,1,0
"1363",0,3,27,1,0.25
"1364",0,2,61,1,0.4375
"1365",1,5,55,1,0.4375
"1366",NA,6,52,1,NA
"1367",0,5,80,0,0.6875
"1368",1,3,29,1,0.1875
"1369",0,5,33,1,0
"1370",1,6,25,1,0.5
"1371",0,5,22,1,0.125
"1372",1,2,45,1,0.4375
"1373",1,5,51,1,0.3125
"1374",1,4,63,1,0.3125
"1375",1,1,18,4,0.125
"1376",0,5,56,1,0.25
"1377",1,5,56,3,0.6875
"1378",1,1,70,NA,0.25
"1379",0,6,62,1,0.3125
"1380",0,4,64,1,0.25
"1381",0,3,54,5,0.3125
"1382",0,6,60,2,0
"1383",1,3,NA,0,0.4375
"1384",1,6,37,1,0.0625
"1385",1,3,22,1,0.25
"1386",1,5,69,3,0.4375
"1387",1,6,37,2,0
"1388",0,6,58,1,0.5
"1389",1,6,28,1,0.125
"1390",0,6,72,1,0.6875
"1391",1,6,36,1,0
"1392",1,3,83,1,0.5625
"1393",1,2,90,2,0.5625
"1394",1,2,29,NA,0.3125
"1395",0,5,35,0,0.4375
"1396",1,6,39,1,0.125
"1397",1,2,22,0,0
"1398",1,5,60,2,0
"1399",1,3,70,0,0.3125
"1400",1,3,31,1,0.3125
"1401",0,3,33,2,0.4375
"1402",1,4,56,4,0.5625
"1403",1,2,20,1,0.3125
"1404",0,2,27,0,0.625
"1405",0,6,72,NA,0.0625
"1406",1,6,48,4,0.625
"1407",0,1,27,1,0.5
"1408",1,3,60,1,0.125
"1409",1,3,71,1,0.25
"1410",1,6,57,1,0.3125
"1411",1,1,77,0,0.6875
"1412",1,2,25,0,0.0625
"1413",0,6,NA,1,0.125
"1414",0,3,37,1,0.4375
"1415",0,2,23,0,0.5
"1416",0,5,42,1,0.5
"1417",1,2,36,1,0.5
"1418",1,1,30,2,0.75
"1419",1,5,50,1,0.3125
"1420",0,5,70,2,0.5625
"1421",0,6,74,4,0
"1422",1,2,75,0,0.5
"1423",1,6,69,2,0.125
"1424",1,5,25,1,0.125
"1425",1,4,42,0,0.375
"1426",1,2,76,4,0.375
"1427",0,5,34,1,0.1875
"1428",1,6,55,3,0.0625
"1429",1,2,65,1,0.125
"1430",1,6,55,NA,0.125
"1431",1,5,60,2,0.25
"1432",1,2,67,NA,0.375
"1433",1,2,34,2,0.375
"1434",1,5,37,2,0.0625
"1435",0,5,29,1,0.5
"1436",NA,1,NA,NA,NA
"1437",0,5,32,3,0.1875
"1438",0,3,62,NA,0.375
"1439",1,6,78,1,0.3125
"1440",1,6,63,3,0.0625
"1441",1,3,54,2,0.0625
"1442",1,2,58,NA,NA
"1443",0,2,81,3,0.375
"1444",1,6,41,1,0.125
"1445",1,6,55,2,0.3125
"1446",0,5,58,3,0.375
"1447",1,5,54,3,0.3125
"1448",1,6,37,0,0.5625
"1449",1,3,56,2,0.4375
"1450",1,3,63,1,0.3125
"1451",0,5,32,2,0.25
"1452",1,6,39,NA,0
"1453",1,5,53,1,0.1875
"1454",NA,5,63,0,0.3125
"1455",1,1,68,1,0.8125
"1456",1,2,68,1,0.5
"1457",0,3,39,1,0.5625
"1458",1,4,47,1,0.125
"1459",1,4,67,0,0.5625
"1460",1,4,66,NA,0.75
"1461",1,2,19,4,0
"1462",0,2,46,2,0.8125
"1463",1,5,61,2,0.25
"1464",1,3,56,NA,0.125
"1465",1,6,55,4,0
"1466",0,1,60,0,NA
"1467",1,3,31,1,0.25
"1468",0,5,28,2,0
"1469",1,6,64,2,0.1875
"1470",0,6,53,2,0
"1471",0,3,53,NA,0.625
"1472",1,2,31,5,0.25
"1473",1,2,35,0,0.0625
"1474",1,4,42,1,0.3125
"1475",0,1,39,6,0.5
"1476",0,3,52,NA,0.6875
"1477",1,3,63,1,0.5
"1478",0,6,58,1,0.125
"1479",1,1,42,2,0.8125
"1480",0,5,23,1,0.25
"1481",1,6,45,4,0
"1482",0,5,59,NA,NA
"1483",0,5,54,2,NA
"1484",0,6,76,2,0.375
"1485",1,3,55,3,0.0625
"1486",1,3,55,1,0.3125
"1487",1,3,71,1,0.3125
"1488",1,3,62,1,0.5
"1489",1,6,28,1,0
"1490",1,2,38,NA,0.75
"1491",1,5,48,2,0
"1492",1,6,59,3,0
"1493",0,1,30,1,0.375
"1494",1,5,25,1,0.25
"1495",1,6,66,1,0.5
"1496",1,5,26,0,0.4375
"1497",1,2,30,1,0.125
"1498",0,6,66,0,0.375
"1499",1,4,69,1,0.4375
"1500",1,6,71,2,0.5
"1501",1,3,43,0,0.5625
"1502",1,1,20,1,0.5625
"1503",1,6,51,NA,NA
"1504",0,2,68,NA,0.375
"1505",1,5,27,1,0
"1506",1,2,54,0,0.6875
"1507",1,6,73,NA,0
"1508",0,6,32,4,0.125
"1509",1,6,NA,3,0.125
"1510",0,3,41,1,0.5
"1511",1,6,28,1,0.3125
"1512",0,3,21,1,0.5
"1513",0,5,64,3,0.0625
"1514",1,3,NA,1,0.5
"1515",1,3,36,1,0.1875
"1516",0,3,46,2,0.8125
"1517",1,3,61,2,0.25
"1518",0,2,65,0,0.1875
"1519",1,6,68,NA,0.5
"1520",1,6,71,2,0.125
"1521",0,3,58,3,0.875
"1522",0,4,33,1,0.125
"1523",0,3,62,2,0.3125
"1524",0,4,33,0,0.0625
"1525",0,5,30,NA,0.125
"1526",1,6,77,1,0.5
"1527",1,6,30,4,0
"1528",1,6,35,3,NA
"1529",0,5,49,1,0.0625
"1530",0,2,21,1,0.625
"1531",1,1,35,0,0.4375
"1532",1,3,40,1,0.4375
"1533",1,6,26,1,0.125
"1534",1,1,38,1,0.25
"1535",1,4,30,1,0.5
"1536",1,5,47,3,0
"1537",1,4,61,1,0.375
"1538",0,4,28,1,0.4375
"1539",1,6,43,2,0.0625
"1540",1,6,52,5,0.125
"1541",1,6,41,1,0.25
"1542",0,6,66,3,0
"1543",0,5,51,1,0.3125
"1544",0,5,31,NA,NA
"1545",0,5,66,NA,0.0625
"1546",1,5,64,4,0.1875
"1547",0,3,63,0,0.625
"1548",0,4,55,2,0.375
"1549",1,6,45,3,0.125
"1550",0,5,59,1,0
"1551",0,4,42,1,0.5
"1552",0,2,63,1,0.625
"1553",0,3,57,1,0.5
"1554",1,1,76,1,0
"1555",1,5,29,1,0
"1556",1,3,62,0,0.6875
"1557",0,3,43,4,0
"1558",0,1,66,1,0.625
"1559",0,5,89,5,0.1875
"1560",1,5,44,1,0.0625
"1561",1,5,23,3,0.0625
"1562",0,2,59,1,0.5
"1563",1,6,58,2,0
"1564",1,5,33,1,0.1875
"1565",0,3,67,0,0.3125
"1566",1,5,65,4,0
"1567",1,3,68,1,0.1875
"1568",0,6,63,1,0.25
"1569",0,4,19,2,0.375
"1570",0,6,56,0,0.125
"1571",0,3,43,NA,0
"1572",1,5,58,1,0
"1573",1,2,67,0,0.4375
"1574",1,3,33,0,0.5
"1575",0,6,79,4,0.125
"1576",0,6,59,0,0.25
"1577",1,4,32,NA,0.5625
"1578",1,3,42,NA,0.25
"1579",1,5,31,1,0.6875
"1580",1,2,64,1,0.5
"1581",1,3,52,1,0.1875
"1582",0,5,32,1,0.3125
"1583",0,3,46,1,0.5625
"1584",1,4,40,0,0.375
"1585",0,6,34,NA,0.5
"1586",1,4,51,0,0.5
"1587",0,5,50,1,0.5
"1588",1,6,25,1,0.3125
"1589",0,2,70,1,0.3125
"1590",1,2,55,1,0.5625
"1591",1,4,53,0,0.1875
"1592",0,6,51,NA,0.3125
"1593",0,2,40,1,0.375
"1594",1,1,60,NA,0.625
"1595",0,6,31,3,0
"1596",NA,1,57,0,1
"1597",NA,6,76,3,0.5625
"1598",0,6,51,1,0.5
"1599",1,2,38,1,0.5625
"1600",0,2,75,1,0.0625
"1601",0,1,68,1,0.5
"1602",0,1,77,1,0.5
"1603",0,3,27,1,0.8125
"1604",0,4,49,NA,0.3125
"1605",1,2,78,5,0.75
"1606",0,5,67,1,0.25
"1607",1,5,31,NA,0.125
"1608",1,5,78,6,0.1875
"1609",0,5,65,1,0.4375
"1610",1,3,48,NA,0.375
"1611",1,2,88,1,0.4375
"1612",1,3,73,NA,0.3125
"1613",1,6,34,1,0
"1614",1,4,33,1,0.5
"1615",0,1,60,0,0.5
"1616",1,5,47,3,0.125
"1617",0,5,68,1,0
"1618",1,3,60,0,0.3125
"1619",1,6,60,2,0.1875
"1620",0,5,25,1,0.75
"1621",0,2,38,NA,0.8125
"1622",0,3,66,0,0.5
"1623",1,4,80,1,0.5
"1624",1,3,56,4,0.25
"1625",0,4,29,0,0.8125
"1626",1,6,74,3,0.3125
"1627",1,2,68,1,0.5
"1628",0,1,34,1,0.375
"1629",1,2,67,0,0.375
"1630",1,6,49,2,0.1875
"1631",0,1,53,1,0.125
"1632",0,2,76,1,0.5625
"1633",0,6,68,3,0.4375
"1634",0,2,68,NA,0.5
"1635",0,1,59,2,0.8125
"1636",1,4,51,0,0.5
"1637",0,5,61,NA,0.5625
"1638",0,2,20,1,0.875
"1639",0,4,31,1,0.375
"1640",1,4,52,0,0.5
"1641",1,4,58,1,0
"1642",0,2,62,1,0.6875
"1643",1,5,43,NA,0.3125
"1644",NA,5,59,1,0.5
"1645",0,1,49,0,0.8125
"1646",0,5,48,1,0.6875
"1647",0,4,27,NA,0.3125
"1648",1,5,45,1,0.5
"1649",1,5,60,1,0.3125
"1650",1,3,26,0,0.5
"1651",0,4,57,NA,0.125
"1652",0,6,37,1,0.25
"1653",1,3,32,1,0.6875
"1654",1,4,52,1,0.5
"1655",1,3,58,0,0.5
"1656",0,3,69,1,0.6875
"1657",NA,3,26,7,0.3125
"1658",0,3,19,0,0.625
"1659",1,6,56,1,0.1875
"1660",0,1,75,2,0.1875
"1661",1,2,32,1,0.5
"1662",1,6,68,1,0.25
"1663",0,4,43,2,0
"1664",1,4,26,2,0.25
"1665",0,4,29,NA,0.375
"1666",0,1,58,0,0.5
"1667",1,3,NA,NA,0.5
"1668",0,2,44,1,0.4375
"1669",1,5,54,1,0.3125
"1670",0,2,39,0,0.5
"1671",1,2,20,3,0.5
"1672",0,5,26,2,0.125
"1673",1,2,59,3,0.5
"1674",0,6,65,NA,0.375
"1675",0,4,24,1,0.5
"1676",1,4,58,0,0.375
"1677",1,5,72,NA,0.3125
"1678",0,5,47,NA,0.3125
"1679",1,6,41,1,0
"1680",1,2,39,0,0.6875
"1681",0,3,19,NA,0.5
"1682",0,3,53,1,0.375
"1683",0,3,30,1,0.3125
"1684",0,6,60,1,0.3125
"1685",1,4,32,1,0.3125
"1686",0,5,54,1,0.4375
"1687",0,5,65,2,0
"1688",0,5,28,5,0
"1689",0,2,50,1,0.5
"1690",0,2,42,1,0.5
"1691",0,2,19,2,0.25
"1692",0,5,34,1,0.1875
"1693",0,5,23,1,0.125
"1694",0,6,65,8,0.625
"1695",1,6,33,8,0.0625
"1696",1,3,58,0,0.625
"1697",0,3,NA,1,0.5
"1698",0,5,65,2,0.875
"1699",1,5,58,1,0.25
"1700",1,1,37,3,0
"1701",1,3,30,1,0.5
"1702",0,6,78,4,NA
"1703",0,5,26,1,0
"1704",0,6,70,NA,0.3125
"1705",0,3,63,2,0.3125
"1706",0,3,63,1,0.5
"1707",0,4,65,0,0.5
"1708",1,4,73,2,0.375
"1709",1,4,47,0,0.625
"1710",1,4,41,1,0
"1711",1,4,67,NA,0.5
"1712",1,3,50,1,NA
"1713",0,6,70,3,0.375
"1714",1,2,46,1,0.3125
"1715",1,2,70,NA,0.1875
"1716",0,5,60,1,0.1875
"1717",0,6,33,NA,0.375
"1718",0,2,29,0,0.75
"1719",0,2,20,1,0.625
"1720",1,2,35,1,0.5625
"1721",1,3,37,0,0.1875
"1722",0,6,43,0,0.375
"1723",1,3,61,0,0.4375
"1724",1,6,56,2,0.5625
"1725",1,5,31,1,0
"1726",0,3,18,1,0.625
"1727",1,3,45,NA,0.5
"1728",0,3,26,2,0.3125
"1729",1,5,59,1,0.1875
"1730",0,2,59,2,0.375
"1731",1,2,37,1,0.5
"1732",1,3,38,NA,1
"1733",0,3,20,5,0.375
"1734",1,2,58,1,0.6875
"1735",1,5,22,2,0.75
"1736",0,2,67,1,0.4375
"1737",0,2,23,1,0.25
"1738",1,4,27,0,0.125
"1739",1,6,55,1,0.0625
"1740",1,2,68,1,0.5
"1741",0,3,54,NA,0.5625
"1742",1,4,36,1,0.5
"1743",1,3,65,0,0.3125
"1744",1,5,32,NA,0.5625
"1745",1,5,66,6,0.125
"1746",1,6,45,1,0.0625
"1747",1,4,49,1,0.0625
"1748",1,3,33,0,0.0625
"1749",1,5,24,3,0.0625
"1750",1,3,49,1,0.1875
"1751",0,5,37,2,0.25
"1752",0,2,50,1,0.6875
"1753",0,4,41,NA,0.5
"1754",0,1,76,0,0.5625
"1755",1,6,26,1,0
"1756",NA,5,44,NA,0.5
"1757",0,2,71,2,0.5625
"1758",1,6,37,1,0.125
"1759",0,4,58,2,0.5625
"1760",1,2,43,NA,0.25
"1761",1,3,48,1,0.0625
"1762",1,1,47,0,0.4375
"1763",1,6,66,1,0.375
"1764",0,2,66,1,0.375
