"","female","edu","age","participation","sexism"
"206",0,3,58,NA,0.5
"207",1,5,67,2,0.1875
"208",1,5,42,1,0.375
"209",1,6,36,2,0.0625
"210",1,2,21,1,0.375
"211",0,5,35,5,0
"212",1,5,66,0,NA
"213",1,2,68,2,0.1875
"214",1,6,71,NA,0.5
"215",0,1,20,NA,NA
"216",0,2,55,NA,0.75
"217",1,3,26,1,0.5625
"218",0,4,65,NA,0.6875
"219",1,5,40,NA,0.5
"220",1,6,42,1,0.1875
"221",1,5,46,1,0
"222",1,2,45,0,0.4375
"223",1,2,NA,1,0.5
"224",1,5,43,1,0.3125
"225",1,6,46,2,0
"226",0,2,36,0,0.6875
"227",1,5,67,0,0.875
"228",1,2,65,1,0.75
"229",1,3,45,1,0.625
"230",0,5,40,2,0.3125
"231",1,3,76,1,0.8125
"232",1,6,69,5,0.25
"233",0,3,68,1,0.5625
"234",NA,5,43,1,0
"235",0,6,74,5,0.1875
"236",0,2,32,0,0.8125
"237",1,2,44,0,0.6875
"238",1,5,29,1,0.625
"239",1,4,53,1,0.5625
"240",1,5,32,3,0.125
"241",0,3,50,0,0.5
"242",0,6,42,1,0.1875
"243",1,5,65,4,0.3125
"244",0,4,72,1,NA
"245",0,3,56,0,0.5625
"246",0,3,27,1,0.375
"247",0,4,66,2,0.5
"248",1,2,81,0,0.5625
"249",1,3,70,1,0.4375
"250",0,6,79,2,0.375
"251",1,1,63,0,NA
"252",1,1,54,1,0.6875
"253",1,3,50,1,0
"254",0,5,39,1,0.5
"255",0,5,23,1,0.625
"256",0,4,46,1,0.3125
"257",1,2,70,2,0.5625
"258",0,6,55,3,0.5
"259",0,5,30,0,0.8125
"260",1,6,NA,NA,0.375
"261",1,5,60,1,0.25
"262",0,4,39,2,0.5
"263",1,4,58,0,0.5625
"264",0,4,26,1,0.5
"265",0,3,45,NA,0.5
"266",0,3,25,1,0.0625
"267",1,3,67,1,0.4375
"268",0,5,36,NA,0.25
"269",0,3,27,1,0.75
"270",1,2,23,1,0.6875
"271",1,2,29,1,0.6875
"272",1,6,90,2,0.375
"273",1,3,46,1,0.4375
"274",0,4,68,1,0.4375
"275",1,5,34,1,0.4375
"276",1,3,31,0,0.125
"277",1,4,57,0,0.125
"278",0,5,43,2,0.1875
"279",1,5,26,2,0.0625
"280",1,3,47,0,0.3125
"281",0,5,36,1,0.375
"282",1,5,43,NA,0.25
"283",1,3,74,1,0.5625
"284",1,1,54,2,NA
"285",1,5,38,1,0.1875
"286",NA,3,23,6,0.0625
"287",0,2,29,0,0.5
"288",1,3,60,2,0.5
"289",0,5,64,3,0.4375
"290",1,6,29,1,0.4375
"291",0,2,39,1,0.625
"292",1,3,57,2,0.3125
"293",0,5,24,NA,0.3125
"294",0,2,66,1,0.5
"295",1,4,58,1,0.25
"296",1,4,34,NA,0.1875
"297",1,6,51,1,0.1875
"298",1,6,36,2,0.0625
"299",1,2,34,1,0.3125
"300",0,6,51,4,0.25
"301",0,3,42,0,0.5
"302",1,5,76,0,0.8125
"303",0,4,74,1,0.5
"304",1,5,51,1,0.25
"305",0,1,53,1,0.3125
"306",0,3,84,NA,0.75
"307",0,6,38,0,0.25
"308",1,3,42,3,0.5
"309",1,1,41,2,0.1875
"310",1,5,51,1,0.5625
"311",0,6,28,1,0.3125
"312",1,3,52,1,0.5
"313",0,5,48,0,0.6875
"314",0,4,62,3,0.6875
"315",1,5,52,1,0.25
"316",1,2,87,1,0.5625
"317",0,6,81,5,0.3125
"318",0,6,34,4,0.125
"319",1,1,72,1,NA
"320",1,6,68,1,0.5
"321",0,4,53,1,0.375
"322",1,2,35,1,0.6875
"323",0,2,57,1,0.5625
"324",1,3,48,1,0
"325",1,2,66,1,0.6875
"326",1,5,36,3,0.125
"327",0,6,37,3,0
"328",0,4,49,1,NA
"329",1,4,34,2,0.0625
"330",0,6,54,2,0.25
"331",0,5,33,1,0.5625
"332",1,5,59,2,0.125
"333",1,2,80,2,NA
"334",1,6,52,1,0.5625
"335",1,3,31,1,0.125
"336",0,5,51,1,0.375
"337",1,3,43,1,0.3125
"338",1,5,37,1,0
"339",0,5,67,1,0.375
"340",0,5,64,1,0.5
"341",0,6,37,1,0.1875
"342",1,6,50,1,0.625
"343",0,5,74,1,0
"344",0,1,68,NA,0.3125
"345",1,4,30,1,0.375
"346",NA,2,57,2,NA
"347",0,4,30,1,0
"348",1,2,67,0,0.625
"349",1,2,18,0,0.625
"350",0,1,18,NA,0.5625
"351",0,6,67,1,0.5
"352",0,3,40,0,1
"353",0,3,37,1,NA
"354",0,6,77,2,0.1875
"355",1,3,NA,1,0.5
"356",1,2,75,1,0.3125
"357",0,6,71,6,0.125
"358",1,5,67,5,0.3125
"359",0,6,NA,NA,NA
"360",1,3,27,2,0.4375
"361",1,5,39,7,0.0625
"362",1,3,63,1,0.5625
"363",0,4,65,0,0.5625
"364",1,1,89,1,0.4375
"365",1,6,47,2,0
"366",0,2,66,0,0.4375
"367",0,1,66,2,NA
"368",1,6,27,1,0.5
"369",1,3,79,5,0.4375
"370",1,6,30,5,0.125
"371",0,2,55,1,NA
"372",1,2,22,1,0.625
"373",1,NA,66,1,NA
"374",0,3,29,5,0.75
"375",1,3,23,1,0.125
"376",1,6,51,1,0.5625
"377",1,3,67,0,0.1875
"378",NA,4,75,1,0.375
"379",1,1,40,NA,0.5
"380",1,6,45,1,0.5625
"381",0,1,37,NA,0.4375
"382",0,3,20,1,0.75
"383",0,6,47,0,0.8125
"384",0,1,54,1,0.6875
"385",1,4,28,0,0.3125
"386",1,2,49,1,0.4375
"387",0,3,60,4,0.5
"388",0,6,33,2,0.3125
"389",0,2,31,1,0.6875
"390",1,6,50,4,0.3125
"391",1,3,34,1,0.375
"392",0,2,37,2,0.4375
"393",0,3,62,1,0.3125
"394",1,4,45,0,0.1875
